uuid,name,name_file,size_Bytes
00062baf-696f-496b-8b47-8547f33b80b7,Efectos de la quema de la caña de azúcar en las propiedades del suelo en Tancanhuitz San Luis Potosí,IAE1EFE01201.pdf,4933880
000be0f5-5331-4ed3-982e-79ada06bd21d,Manual de enfermería para el manejo del equipo laparoscópico de cirugía general en la Central de Esterilización y Equipos,TesinaE.FEyN.2024.Manual.Almazán.pdf,318849
0010b017-5aff-401d-bd66-a5f93920f2a7,Identificación de patrones metabolómicos en orina en pacientes con cáncer de mama posterior al tratamiento,Tesis.E.FM.2022.Identificación.Rodríguez.pdf,1082676
001f8e6e-7b1c-413e-8bd3-89347b72fdd1,"""Diagnóstico y recomendaciones para la conservación de la colección de carteles y fotomontajes de la cineteca alameda del estado de San Luis Potosí""",TesinaL.ECI.2015.Diagnóstico.Rodríguez.pdf,5105989
00250659-b61a-4ba6-bcf4-1155ff1cf1b3,La educación inclusiva en el nivel universitario. Análisis de las políticas educativas de la UASLP en la atención a los alumnos y alumnas en situación de discapacidad,TesisM.FD.2018.Educación.Castillo2.pdf,935759
002a55f5-ba63-4a8d-aeb3-8fb7148058f8,Respuesta inmune producida por plaquetas durante la infección con Mycobacterium tuberculosis,TesisD.FM.2020.Respuesta.Torres.pdf,116077623
003ba9b1-b92d-4811-9f8c-524369fac172,Matriz y posibilidad de los derechos de la naturaleza,TesisM.FD.2015.Matriz.Altamirano.pdf,1351515
00541fa2-8323-427b-927e-89e1f436e50b,"The water framework directive and the chilean normative: towards a comprehensive relation between water quality and morphological characterization in surface water, Limarí Basin, Chile",license.txt,14
00581677-0fb1-4bad-b478-1662dcf8bbe7,"Descripción de posibles fallas sismogénicas regionales en la zona media del estado de San Luis Potosí, SLP",IGE1DFS00901.pdf,2360401
0060d0ab-1ed9-4318-bcab-e70dbd72e744,Estudio de atributos atractivos en la compra de un automóvil en la ciudad de San Luis Potosí,TesisM.FCA.2020.Atributos.Bermúdez(VersionPública).pdf,228296
00906bba-ab91-461b-ae8f-343c0d0173e2,Un decalogo tributario,ceu0041.pdf.txt,49
0092f699-e224-4763-ba8e-5974502cde2b,Participación de receptores de DNA citosólicos en individuos infectados con SARS-CoV-2,TesisM.FCQ.2022.Juárez.PDF (Versión pública).pdf,316930
0094fb90-616d-4c34-9098-8c92585dc42d,El reto del finaciamiento y la organización agrícola,Portada de tesis.pdf,28284
00cc2643-8e4c-4f45-ad95-8311979bcc4d,Relaciones y Representaciones Sociales en algunas infancias potosinas actuales,TesisL.FC.2024.Relaciones.Frias.pdf,2565059
00d3fe28-ff9c-42d6-9841-2b2775f79a10,Prevalencia del síndrome de dolor post mastectomía en el Hospital Central Dr. Ignacio Morones Prieto,TesisE.FM.2021.Prevalencia.Sierra.pdf,432845
00e02d5b-1f66-4295-b444-1274f4a42347,"Factores relacionados con obesidad, diabetes mellitus, hipertensión arterial y dislipidemias en escolares",MSP1FRE01001.pdf.txt,131419
00e34a37-6ce8-40a0-9904-b3993fd0d5f3,Efecto del método de deposición de nanopartículas de sulfuro de cobre en la esfalerita para la concentración de zinc.,Ponencia.IM.2024.Efecto.Avila.pdf,2155294
00edb401-0767-41da-b52e-a55c7ae03ce6,Al filo de la esperanza,licencia.pdf,54206
00f813ab-caee-4cb6-a6a5-30bf5b8e12c8,"Determinación de los factores clínicos, genéticos y nutricionales asociados a la variabilidad del INR y su relación con las concentraciones plasmáticas de un medicamento anticoagulante y su metabolito hidroxilado en pacientes anticoagulados",TesisM.FCQ.2022.Deterninación.Rodríguez.(versión pública).pdf,993920
00ffc246-014f-4fb1-ba83-fb757867a8af,"Themis : Número 2, Mayo 2009",item_0008.pdf,54206
010a29bd-a653-4a96-bab8-7aae139a2cdb,Tres décadas de práctica profesional,Tres decadas de practica profesional.pdf,23287709
010c6ae2-639a-4e5d-a147-0a59cbe7a2fd,XXVIII Informe OEB,Informe XXVIII.pdf,45923
0111ad64-03be-4968-84f3-9b3f879dd5a0,Proteína C Reactiva y datos clínicos abdominales como predictores para evento quirúrgico en pacientes con abdomen agudo en el servicio de urgencias,TesisE.FM.2018.Proteína.Martínez.pdf,1098233
01194e7b-b0a9-4eed-ab88-f5a487662915,"Hipercloremia asociada a más días de estancia hospitalaria en pacientes con pancreatitis aguda del Hospital General de Zona 50, San Luis Potosí.",TesisE.FM.2018.Hipercloremia.Silva.pdf,1295766
0129e099-902b-4d3e-b5f6-04357dfbfb32,"Sustainability of Agroforestry coffee cultivation in the Cerro de Kuskawás Natural Reserve, Nicaragua",TesisM.PMPCA.2024.Sustainability.Villanueva.pdf,1209883
013507fc-9959-492b-8154-d27e667d3068,"Estudio geológico-geoquímico del área Monterredondo mpio. de Saric, Son",IGE1GGA98001.pdf,2799435
014cc807-39b1-42ee-83f1-86ec73df97f5,Eclecticismo arquitectónico en la capital de San Luis Potosí: manifestación de  elementosneomudéjares en edificaciones civiles de finales del siglo XIX y principios del siglo XX,MCH1ECL01301.pdf,15775310
0159bc74-d26d-4dde-85df-62017c9fe907,La legitimidad de la propaganda por los hechos en la reivindicaciónn por los derechos humanos,TesisM.FD.2016.Legitimidad.Grimaldo.pdf,5406943
016aa16c-9b0f-47a7-9162-521aff37b515,"Universitarios Potosinos : Año 7, Número siete, Noviembre de 2011",item_0078.pdf,54206
016efd84-16b1-4c62-85cd-98462b2d579b,"Escultura, pintura y bajo relieve. San Pedro Guadalcázar, siglo XVII y XVIII",MCH1EPB00901.pdf,8049360
0197e283-625f-4e4d-a792-f0330648f55b,Implementación de un programa piloto de atención farmacéutica en pacientes con problemas cardiovasculares de consulta externa,TesisM.FCQ.2022.Implementación.Torres.PDF(Versíón pública).pdf,627594
01a56e5d-9a3d-45e0-bbe1-7dd0f7478dda,Geomedicina y la tecnología espacial aplicada al caso de los vectores en salud humana,license.txt,1748
01a57253-8eef-4ee7-be18-9e74791e7cee,Apropiación del espacio público en los conjuntos de la vivienda popular oriente de la ZMSLP,license.txt,6
01adbe8b-3e18-4253-91c0-ee922802340e,Microfacies and depositional environment of the Aptian/Albian transgression (Lower Cretaceous) in San Luis Potosi (Central Mexico),MGA1MDE01401.pdf,11016780
01b78488-47b0-4204-87f8-ee3b2acb32bf,Comportamiento reproductivo del ganado de la lidia en la zona altiplano de San Luis Potosí en dos diferentes sistemas de empadre,MCA1LID99801.pdf.txt,82222
01e1bb5f-6220-4ab3-9cb1-a5a12cdc0dd4,Estudio del efecto del poli(ácido metanílico) en los procesos de exfoliación/intercalación electroquímica de grafito natural en ácido sulfúrico,TesisM.FCQ.2024.Estudio.Llamas.(Versión pública).pdf,2126224
01e1c60e-0327-4770-a84e-c2c89f8d54f9,Funcionalización de nanopartículas de Ag con bajas concentraciones de proteína; IL-1β y su detección con SERS,TesisM.FC.2020.Funcionalización.Arenas.pdf,3996037
01fa74af-8912-4e96-8197-74d155dbcb2d,Interpretación de la velocidad global de adsorción para sistemas binarios empleando modelos difusionales,TesisM.FCQ.2024.Interpretación.Ulloa.PDF(Versión pública).pdf,1032489
